# %ECSV 0.9
# ---
# datatype:
# - {name: bbName, datatype: string}
# - {name: RADIUS, unit: arcsec, datatype: float64}
# - {name: NPIX, datatype: int64, description: number of pixels in ring}
# - {name: SURFDENS, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: 'average intensity in ring, not corrected for inclination'}
# - {name: ERR_SD, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: standard deviation of intensity in ring}
# delimiter: ','
# meta: !!omap
# - {comments: ''}
# schema: astropy-2.0
bbName,RADIUS,NPIX,SURFDENS,ERR_SD
NGC6301,1.5,10,0.01294,0.006194
NGC6301,4.5,39,0.01541,0.009397
NGC6301,7.5,76,0.01875,0.01189
NGC6301,10.5,112,0.02263,0.01236
NGC6301,13.5,146,0.02431,0.0143
NGC6301,16.5,161,0.02533,0.01566
NGC6301,19.5,173,0.02597,0.0161
NGC6301,22.5,163,0.02351,0.01295
NGC6314,1.5,15,0.08394,0.02133
NGC6314,4.5,46,0.06181,0.02795
NGC6314,7.5,73,0.0309,0.0181
NGC6314,10.5,71,0.0153,0.009476
NGC6314,13.5,57,0.007191,0.003403
NGC6314,16.5,37,0.007107,0.00293
NGC6314,19.5,18,0.00943,0.002823
NGC6314,22.5,6,0.007305,0.002539
NGC6361,1.5,7,1.11,0.03911
NGC6361,4.5,22,0.9489,0.1324
NGC6361,7.5,36,0.7316,0.2052
NGC6361,10.5,49,0.5602,0.2373
NGC6361,13.5,67,0.421,0.2384
NGC6361,16.5,80,0.3191,0.2385
NGC6361,19.5,94,0.2467,0.2258
NGC6361,22.5,109,0.1954,0.216
NGC6394,1.5,13,0.02412,0.006653
NGC6394,4.5,40,0.01786,0.008557
NGC6394,7.5,44,0.0162,0.006309
NGC6394,10.5,48,0.01284,0.0047
NGC6394,13.5,35,0.01375,0.007064
NGC6394,16.5,36,0.01389,0.009101
NGC6394,19.5,36,0.0115,0.007232
NGC6394,22.5,25,0.008406,0.004207
NGC6478,1.5,8,0.332,0.01239
